kyA_0,wuma_0,bAjAra_0,jA-0-raha-hE-0,nahIM,?
kyA_1,wuma_1,bAjAra_1,jA_1,nahIM_1
1,2,3,4,5
,pron,n,v,,
,yes,yes,
,[- sg m],[n sg a],
4:wh-pron,4:k1,4:k2,,
