paraMwu_0,Pira+BI_0,vaha_0,KuSa_0,WA-nahIM,.
paraMwu_1,Pira+BI_1,vaha,KuSa_1,WA_1
1,2,3,4,5
avyaya,adv,pron,adj,v
,,,,
,,[- sg a],,
,,,,
,,5:k1,5:k1s,
,,,,
