vaha_0,eka~kuSala~baDZaI_0,hE-hE,.
vaha_1,eka_1~kuSala_1~baDZaI_1,hE_2
1,2,3
pron,,
[m sg a],[m sg a],
,2.3:saMKyA-viSeRaNa~2.3:viSeRaNa,
3:k1,3:k1s,
,,
